,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2014-10-09,1,18-244,FLA,@,TBL,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,20,19:05,1,2,0,0,
1,2014-10-11,2,18-246,FLA,,NJD,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,22,22:48,1,0,0,0,
2,2014-10-13,3,18-248,FLA,,OTT,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,24,23:34,4,1,0,0,
3,2014-10-17,4,18-252,FLA,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,20:28,0,0,0,0,
4,2014-10-18,5,18-253,FLA,@,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,28,25:25,1,2,0,0,
5,2014-10-21,6,18-256,FLA,@,COL,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,24,20:15,1,2,0,0,
6,2014-10-25,7,18-260,FLA,@,ARI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,21:45,0,1,0,0,
7,2014-10-30,8,18-265,FLA,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,22:14,1,2,0,0,
8,2014-11-01,9,18-267,FLA,,PHI,W,1,0,1,0,0,0,1,0,1,0,0,0,2,50.0,19,17:15,2,0,0,0,
9,2014-11-04,10,18-270,FLA,@,BOS,L-OT,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,25,24:05,2,1,0,0,
10,2014-11-06,11,18-272,FLA,@,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,23:47,4,0,0,0,
11,2014-11-08,12,18-274,FLA,,CGY,L,0,2,2,-1,0,0,0,0,0,2,0,0,3,0.0,25,20:19,0,0,0,0,
12,2014-11-11,13,18-277,FLA,,SJS,W,0,2,2,3,2,0,0,0,0,2,0,0,2,0.0,27,20:18,1,3,0,0,
13,2014-11-14,14,18-280,FLA,,NYI,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,28,24:27,1,2,0,0,
14,2014-11-16,15,18-282,FLA,@,ANA,W,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,27,20:49,1,1,0,0,
15,2014-11-18,16,18-284,FLA,@,LAK,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,27,25:08,1,0,0,0,
16,2014-11-20,17,18-286,FLA,@,SJS,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,22:17,1,4,0,0,
17,2014-11-22,18,18-288,FLA,@,NSH,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,25,25:12,0,2,0,0,
18,2014-11-24,19,18-290,FLA,,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,23:07,1,1,0,0,
19,2014-11-26,20,18-292,FLA,,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,17:03,1,2,0,0,
20,2014-11-28,21,18-294,FLA,,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,19:50,1,1,0,0,
21,2014-12-01,22,18-297,FLA,@,CBJ,L,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,21,19:05,1,0,0,0,
22,2014-12-02,23,18-298,FLA,@,DET,W,1,0,1,2,0,1,0,0,1,0,0,0,2,50.0,21,18:09,1,0,0,0,
23,2014-12-04,24,18-300,FLA,,CBJ,L-SO,0,1,1,2,0,0,0,0,0,1,0,0,6,0.0,29,25:49,1,1,0,0,
24,2014-12-06,25,18-302,FLA,,BUF,W,0,3,3,3,0,0,0,0,0,3,0,0,3,0.0,24,21:39,1,1,0,0,
25,2014-12-08,26,18-304,FLA,@,STL,L,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,24,22:19,2,1,0,0,
26,2014-12-12,27,18-308,FLA,@,DET,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,26,26:05,0,0,0,0,
27,2014-12-13,28,18-309,FLA,@,BUF,L-OT,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,23,21:57,0,1,0,0,
28,2014-12-16,29,18-312,FLA,,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,24:33,7,2,0,0,
