,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2018-10-03,1,20-075,CGY,@,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,15,9:07,0,0,0,1,0.0
1,2018-10-06,2,20-078,CGY,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,12:51,1,0,1,2,33.3
2,2018-10-09,3,20-081,CGY,@,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:18,0,1,4,6,40.0
3,2018-10-11,4,20-083,CGY,@,STL,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,17,10:07,1,0,1,4,20.0
4,2018-10-13,5,20-085,CGY,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:51,1,0,0,3,0.0
5,2018-10-19,6,20-091,CGY,,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,6:27,0,0,0,1,0.0
6,2018-10-21,7,20-093,CGY,@,NYR,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,17,10:44,1,0,0,0,
7,2018-10-23,8,20-095,CGY,@,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:04,1,0,1,1,50.0
8,2018-10-25,9,20-097,CGY,,PIT,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,17,13:24,0,0,2,0,100.0
9,2018-10-27,10,20-099,CGY,,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,13:49,0,1,1,0,100.0
10,2018-10-29,11,20-101,CGY,@,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:19,1,0,2,1,66.7
11,2018-10-30,12,20-102,CGY,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,12:01,3,0,3,2,60.0
12,2018-11-01,13,20-104,CGY,,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:52,0,0,0,0,
13,2018-11-03,14,20-106,CGY,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0:14,1,0,0,0,
14,2018-11-17,15,20-120,CGY,,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:05,0,0,0,0,
15,2018-11-19,16,20-122,CGY,,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,16:14,0,0,0,1,0.0
16,2018-11-21,17,20-124,CGY,,WPG,W,1,0,1,1,2,1,0,0,0,0,0,0,1,100.0,13,8:56,0,0,0,0,
17,2018-11-23,18,20-126,CGY,@,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,12:47,0,0,0,1,0.0
18,2018-11-25,19,20-128,CGY,@,ARI,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,14,9:08,0,0,0,0,
19,2018-11-28,20,20-131,CGY,,DAL,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,0,,11,8:00,0,1,0,0,
20,2018-12-29,21,20-162,CGY,,VAN,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,6:52,1,0,0,0,
21,2018-12-31,22,20-164,CGY,,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:13,0,0,0,0,
22,2019-01-02,23,20-166,CGY,@,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7:36,0,0,0,1,0.0
23,2019-04-03,24,20-257,CGY,@,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:43,0,0,0,0,
24,2019-04-06,25,20-260,CGY,,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,13:59,0,0,1,0,100.0
25,2019-11-17,1,21-120,CGY,@,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,18,14:23,2,0,0,1,0.0
26,2019-11-19,2,21-122,CGY,,COL,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,13:50,0,0,0,0,
27,2019-11-21,3,21-124,CGY,@,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,19,12:34,0,0,0,0,
28,2019-11-23,4,21-126,CGY,@,PHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,13:14,1,0,0,0,
29,2019-11-25,5,21-128,CGY,@,PIT,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,15,10:17,0,1,0,0,
30,2019-11-27,6,21-130,CGY,@,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,14,10:58,1,0,0,0,
31,2019-11-30,7,21-133,CGY,,OTT,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,16,13:29,3,1,0,0,
32,2019-12-05,8,21-138,CGY,,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,10:30,1,0,0,0,
33,2019-12-07,9,21-140,CGY,,LAK,W,1,1,2,2,0,1,0,0,1,1,0,0,2,50.0,20,13:35,2,0,0,0,
34,2019-12-09,10,21-142,CGY,@,COL,W,0,2,2,0,0,0,0,0,0,2,0,0,1,0.0,20,13:40,0,0,0,0,
35,2019-12-10,11,21-143,CGY,@,ARI,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,14,12:40,2,0,0,0,
36,2019-12-12,12,21-145,CGY,,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,11:02,3,0,0,0,
37,2019-12-14,13,21-147,CGY,,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:24,1,0,0,0,
38,2019-12-17,14,21-150,CGY,,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,12:26,1,0,0,0,
39,2019-12-19,15,21-152,CGY,,MTL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,12:37,0,2,0,0,
40,2019-12-23,16,21-156,CGY,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,14:21,1,0,0,0,
41,2019-12-27,17,21-160,CGY,@,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,12:54,1,0,0,0,
42,2019-12-29,18,21-162,CGY,,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:48,0,0,0,0,
43,2020-01-02,19,21-166,CGY,,NYR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,11,9:03,1,0,0,0,
44,2020-01-05,20,21-169,CGY,@,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,16,15:43,0,0,0,0,
45,2020-01-07,21,21-171,CGY,@,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:57,4,0,0,0,
46,2020-01-09,22,21-173,CGY,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,15:27,2,0,0,0,
47,2020-01-11,23,21-175,CGY,,EDM,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,17,14:02,2,0,0,0,
48,2020-01-13,24,21-177,CGY,@,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,12:58,1,1,0,0,
49,2020-01-16,25,21-180,CGY,@,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,14,12:40,1,1,0,0,
50,2020-01-18,26,21-182,CGY,@,OTT,L,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,14,13:03,1,0,0,0,
51,2020-01-28,27,21-192,CGY,,STL,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,11:42,1,0,0,0,
52,2020-02-01,28,21-196,CGY,,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,7:57,0,0,0,0,
53,2020-02-04,29,21-199,CGY,,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,11:40,1,0,0,0,
54,2020-02-06,30,21-201,CGY,,NSH,L,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,19,15:29,3,0,0,0,
55,2020-02-08,31,21-203,CGY,@,VAN,W,1,2,3,2,0,1,0,0,1,1,1,0,2,50.0,14,10:51,0,0,0,0,
56,2020-02-10,32,21-205,CGY,@,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,14:50,2,0,0,0,
57,2020-02-12,33,21-207,CGY,@,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,17,12:37,1,0,0,0,
58,2020-02-13,34,21-208,CGY,@,ANA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,17,13:28,2,2,0,0,
59,2020-02-15,35,21-210,CGY,,CHI,L,0,2,2,0,0,0,0,0,0,2,0,0,3,0.0,20,14:56,1,1,0,0,
60,2020-02-17,36,21-212,CGY,,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,14:04,2,0,0,0,
61,2020-02-21,37,21-216,CGY,,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,14:57,4,1,0,0,
62,2020-02-23,38,21-218,CGY,@,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,14:27,2,1,0,0,
63,2020-02-25,39,21-220,CGY,@,BOS,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,15,12:24,1,1,0,0,
64,2020-02-27,40,21-222,CGY,@,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,13:32,0,0,0,1,0.0
65,2020-02-29,41,21-224,CGY,@,TBL,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,15,11:07,0,1,0,0,
66,2020-03-01,42,21-225,CGY,@,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,14,11:31,2,0,0,0,
67,2020-03-04,43,21-228,CGY,,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,11,9:42,0,0,0,0,
68,2020-03-06,44,21-230,CGY,,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:19,2,0,0,0,
69,2020-03-08,45,21-232,CGY,,VEG,L,1,0,1,1,0,0,1,0,0,0,0,0,1,100.0,21,15:29,4,0,0,0,
