,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2014-11-01,1,22-270,TOR,,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,7,4:15,1,0,3,3,50.0
1,2014-11-04,2,22-273,TOR,@,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:01,1,0,5,2,71.4
2,2014-11-06,3,22-275,TOR,@,COL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:38,0,0,2,3,40.0
3,2014-11-08,4,22-277,TOR,,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:24,3,0,4,3,57.1
4,2014-11-09,5,22-278,TOR,@,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,6:33,0,0,1,2,33.3
5,2015-01-07,6,22-337,TOR,,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,4,2:53,1,0,1,0,100.0
6,2015-01-14,7,22-344,TOR,@,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,6:12,1,0,2,3,40.0
7,2015-01-15,8,22-345,TOR,@,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,8,5:09,1,0,3,1,75.0
8,2015-01-17,9,22-347,TOR,@,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,6:26,2,1,0,6,0.0
9,2015-01-19,10,22-349,TOR,,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,5,2:17,0,0,0,4,0.0
10,2015-03-19,11,23-043,TOR,,SJS,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,9:06,5,0,4,5,44.4
11,2015-03-21,12,23-045,TOR,@,OTT,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,11,6:43,2,0,4,4,50.0
12,2015-03-23,13,23-047,TOR,,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,12,9:53,3,0,3,4,42.9
13,2015-03-26,14,23-050,TOR,,FLA,L,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,15,11:30,6,0,2,5,28.6
14,2015-03-28,15,23-052,TOR,,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,8:56,2,0,2,5,28.6
15,2015-03-31,16,23-055,TOR,,TBL,W,0,0,0,0,5,0,0,0,0,0,0,0,0,,7,4:49,2,0,2,3,40.0
16,2016-04-06,1,24-062,TOR,,CBJ,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,20,12:00,1,0,1,0,100.0
17,2016-04-07,2,24-063,TOR,@,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,8:41,1,0,0,0,
18,2016-04-09,3,24-065,TOR,@,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,13:43,2,0,0,0,
19,2018-11-04,1,26-273,ANA,,CBJ,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,12,6:54,2,0,2,2,50.0
20,2018-11-06,2,26-275,ANA,@,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,9:39,0,0,10,8,55.6
21,2018-11-07,3,26-276,ANA,,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,7:13,3,0,1,2,33.3
22,2019-01-20,4,26-350,ANA,@,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,14:03,3,0,0,0,
23,2019-01-23,5,26-353,ANA,,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,11:27,4,0,0,0,
24,2019-03-30,6,27-054,ANA,@,EDM,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,12:03,3,2,6,6,50.0
25,2019-12-10,1,27-309,ANA,@,MIN,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,20,12:12,1,0,10,7,58.8
26,2019-12-12,2,27-311,ANA,,LAK,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,14:03,3,2,4,7,36.4
27,2019-12-18,3,27-317,ANA,@,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,10:58,0,0,5,2,71.4
28,2019-12-21,4,27-320,ANA,@,NYI,W,1,0,1,2,0,0,0,1,0,0,0,0,7,14.3,23,13:41,2,0,5,11,31.3
29,2019-12-22,5,27-321,ANA,@,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,14:58,1,1,6,11,35.3
30,2019-12-27,6,27-326,ANA,,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,14:08,0,1,1,0,100.0
31,2019-12-29,7,27-328,ANA,,PHI,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:30,0,1,1,0,100.0
32,2019-12-31,8,27-330,ANA,@,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,13:46,1,1,1,1,50.0
33,2020-01-02,9,27-332,ANA,@,ARI,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,20,16:38,5,2,0,0,
