,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2016-10-14,1,19-217,PHI,@,LAK,W,0,2,2,1,0,0,0,0,0,2,0,0,3,0.0,18,13:08,2,0,0,0,
1,2016-10-15,2,19-218,PHI,@,ARI,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,20,15:35,2,0,0,0,
2,2016-10-18,3,19-221,PHI,@,CHI,L,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,24,16:48,0,0,0,0,
3,2016-10-20,4,19-223,PHI,,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,18,14:58,0,0,0,0,
4,2016-10-22,5,19-225,PHI,,CAR,W,0,1,1,2,2,0,0,0,0,1,0,0,1,0.0,17,12:15,1,2,0,0,
5,2016-10-24,6,19-227,PHI,@,MTL,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,20,15:31,1,2,0,0,
6,2016-10-25,7,19-228,PHI,,BUF,W,1,0,1,0,2,0,1,0,0,0,0,0,4,25.0,27,17:53,0,0,0,0,
7,2016-10-27,8,19-230,PHI,,ARI,L,0,1,1,-2,0,0,0,0,0,1,0,0,1,0.0,21,17:24,2,0,0,0,
8,2016-10-29,9,19-232,PHI,,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,17:26,0,0,0,0,
9,2016-10-30,10,19-233,PHI,@,CAR,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,13:47,3,0,0,0,
10,2016-11-02,11,19-236,PHI,,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,15:19,1,0,0,0,
11,2016-11-03,12,19-237,PHI,@,NYI,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,24,17:59,1,0,0,0,
12,2016-11-05,13,19-239,PHI,@,MTL,L,1,0,1,-2,0,0,1,0,0,0,0,0,5,20.0,22,13:47,4,1,0,0,
13,2016-11-08,14,19-242,PHI,,DET,L-SO,0,0,0,1,2,0,0,0,0,0,0,0,0,,23,18:23,4,0,0,0,
14,2016-11-11,15,19-245,PHI,@,TOR,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,20,14:24,4,1,0,0,
15,2016-11-12,16,19-246,PHI,,MIN,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,17:46,2,0,0,0,
16,2016-11-15,17,19-249,PHI,,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,15:28,3,0,0,0,
17,2016-11-17,18,19-251,PHI,,WPG,W,0,1,1,0,2,0,0,0,0,1,0,0,0,,16,12:02,1,0,0,0,
18,2016-11-19,19,19-253,PHI,,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,23,16:40,3,0,0,0,
19,2016-11-22,20,19-256,PHI,@,FLA,W,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,20,13:26,0,0,0,0,
20,2016-11-23,21,19-257,PHI,@,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,12:20,1,1,0,0,
21,2016-11-25,22,19-259,PHI,,NYR,L,0,0,0,0,17,0,0,0,0,0,0,0,2,0.0,18,11:18,2,0,0,0,
22,2016-11-27,23,19-261,PHI,,CGY,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,19,12:42,0,0,0,0,
23,2016-11-29,24,19-263,PHI,,BOS,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,17,13:05,2,0,0,0,
