,date_game,game_season,age,team_id,game_location,opp_id,game_result,goals,assists,points,plus_minus,pen_min,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shots,shot_pct,shifts,time_on_ice,hits_all,blocks_all,faceoff_wins_all,faceoff_losses_all,faceoff_percentage_all
0,2013-10-02,1,18-031,COL,,ANA,W,0,2,2,1,2,0,0,0,0,,,,1,0.0,21,15:30,0,0,2,12,14.3
1,2013-10-04,2,18-033,COL,,NSH,W,0,1,1,0,0,0,0,0,0,,,,2,0.0,25,17:14,0,0,2,6,25.0
2,2013-10-08,3,18-037,COL,@,TOR,W,0,1,1,0,0,0,0,0,0,,,,1,0.0,17,10:28,3,0,2,9,18.2
3,2013-10-10,4,18-039,COL,@,BOS,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,17,10:14,0,1,2,6,25.0
4,2013-10-12,5,18-041,COL,@,WSH,W,1,1,2,1,0,0,1,0,0,,,,4,25.0,17,13:52,0,0,4,7,36.4
5,2013-10-15,6,18-044,COL,,DAL,W,0,1,1,2,4,0,0,0,0,,,,2,0.0,19,14:29,0,2,8,5,61.5
6,2013-10-17,7,18-046,COL,,DET,L,0,0,0,-1,0,0,0,0,0,,,,3,0.0,20,14:53,0,2,4,4,50.0
7,2013-10-19,8,18-048,COL,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,1,0.0,16,13:58,0,0,5,5,50.0
8,2013-10-21,9,18-050,COL,@,PIT,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,14,10:54,0,1,2,5,28.6
9,2013-10-25,10,18-054,COL,,CAR,W,0,0,0,0,0,0,0,0,0,,,,2,0.0,17,13:16,0,2,2,8,20.0
10,2013-10-27,11,18-056,COL,,WPG,W,0,0,0,-1,0,0,0,0,0,,,,1,0.0,16,14:19,0,0,3,2,60.0
11,2013-11-01,12,18-061,COL,@,DAL,W,0,1,1,1,0,0,0,0,0,,,,4,0.0,21,16:46,0,0,3,1,75.0
12,2013-11-02,13,18-062,COL,,MTL,W,1,0,1,1,0,1,0,0,1,,,,2,50.0,22,16:00,1,0,2,4,33.3
13,2013-11-06,14,18-066,COL,,NSH,L,0,0,0,1,0,0,0,0,0,,,,0,,22,20:18,3,1,0,0,
14,2013-11-08,15,18-068,COL,,CGY,W,0,1,1,1,0,0,0,0,0,,,,3,0.0,22,17:20,3,1,5,4,55.6
15,2013-11-10,16,18-070,COL,,WSH,W,0,0,0,0,0,0,0,0,0,,,,4,0.0,19,16:20,1,0,1,2,33.3
16,2013-11-12,17,18-072,COL,@,CAR,L,0,1,1,0,0,0,0,0,0,,,,9,0.0,20,17:50,2,1,0,3,0.0
17,2013-11-14,18,18-074,COL,@,STL,L,1,0,1,-2,0,0,1,0,0,,,,3,33.3,22,19:51,0,1,2,1,66.7
18,2013-11-16,19,18-076,COL,,FLA,L,0,0,0,-1,0,0,0,0,0,,,,7,0.0,21,17:14,3,0,2,0,100.0
19,2013-11-19,20,18-079,COL,,CHI,W,0,0,0,1,0,0,0,0,0,,,,4,0.0,21,17:47,1,1,3,3,50.0
20,2013-11-21,21,18-081,COL,@,PHX,W,0,1,1,0,0,0,0,0,0,,,,3,0.0,22,17:49,0,0,8,7,53.3
21,2013-11-23,22,18-083,COL,@,LAK,W,0,0,0,0,0,0,0,0,0,,,,3,0.0,20,17:01,0,0,2,7,22.2
22,2013-11-27,23,18-087,COL,,STL,L,0,0,0,-2,0,0,0,0,0,,,,1,0.0,21,17:58,0,0,1,5,16.7
23,2013-11-29,24,18-089,COL,@,MIN,W,1,1,2,1,2,1,0,0,1,,,,4,25.0,20,16:02,0,0,5,4,55.6
24,2013-11-30,25,18-090,COL,,MIN,W,1,0,1,1,0,1,0,0,0,,,,2,50.0,20,15:39,0,0,0,0,
25,2013-12-05,26,18-095,COL,@,EDM,L,0,0,0,0,2,0,0,0,0,,,,1,0.0,19,16:23,1,0,0,0,
26,2013-12-06,27,18-096,COL,@,CGY,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,21,17:28,1,0,0,1,0.0
27,2013-12-08,28,18-098,COL,@,VAN,L,0,0,0,-1,0,0,0,0,0,,,,2,0.0,21,19:24,0,1,1,0,100.0
28,2013-12-10,29,18-100,COL,,PHX,L,0,0,0,0,0,0,0,0,0,,,,5,0.0,19,18:45,1,2,3,5,37.5
